Field=Description~String~Description~77|Field=Designator~String~Designator~77|Field=LibRef~String~LibRef~77|Field=Manufacturer 1~String~Manufacturer 1~77|Field=Quantity~Integer~Quantity~77|Field=Supplier 1~String~Supplier 1~77|Field=Supplier Part Number 1~String~Supplier Part Number 1~77|Field=Value~String~Value~77|Field=Manufacturer~String~Manufacturer~77|Field=Manufacturer Part Number~String~Manufacturer Part Number~77|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~51|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~99|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~81|ReportField=Currency~USD|ReportField=ProductionQuantity~100|ReportField=ProjectFileName~CHEM_CONTROL_BOX.PrjPcb|ReportField=ProjectFullPath~C:\Users\ehughes\Dropbox\Rioux Chem Control Box\RAW DESIGN FILES\SCH\REV B\CHEM_CONTROL_BOX.PrjPcb|ReportField=Title~Assembly BOM For Project [CHEM_CONTROL_BOX.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~283|ReportField=ReportTime~3:43:54 PM|ReportField=ReportDate~1/5/2014|ReportField=ReportDateTime~1/5/2014 3:43:54 PM|ReportField=OutputName~Assembly BOM|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=BOM_NOTES_LINE_1~-|ReportField=BOM_NOTES_LINE_2~-|ReportField=BOM_NOTES_LINE_3~-|ReportField=BOM_NOTES_LINE_4~-|ReportField=PCB_COPPER_WEIGHT_INNER~2oz|ReportField=PCB_COPPER_WEIGHT_OUTER~2oz|ReportField=PCB_DIMENSION_X~-|ReportField=PCB_DIMENSION_Y~-|ReportField=PCB_DRC_DATE~2013.01.2|ReportField=PCB_FINISH_PLATING~LEAD FREE HASL|ReportField=PCB_FINISHED_THICKNESS~.0625"|ReportField=PCB_LAYERS~2|ReportField=PCB_MATERIAL~FR4|ReportField=PCB_MIN_DRILL~15mil|ReportField=PCB_MIN_TRACE_SPACE~8mil|ReportField=PCB_MIN_TRACE_WIDTH~8mil|ReportField=PCB_PRINTOUT_SCALE~1:1|ReportField=PCB_SILKSCREEN_COLOR_BOTTOM~WHITE|ReportField=PCB_SILKSCREEN_COLOR_TOP~WHITE|ReportField=PCB_SOLDER_MASK_COLOR_BOTTOM~BLUE|ReportField=PCB_SOLDER_MASK_COLOR_TOP~BLUE|ReportField=PROJECT_ENGINEER~E.Hughes|ReportField=PROJECT_PART_NUMBER_CCA~-|ReportField=PROJECT_PART_NUMBER_PCB~-|ReportField=PROJECT_PART_NUMBER_SCH~-|ReportField=PROJECT_REVISION~b|ReportField=PROJECT_SHORT_TITLE~CHEM_BOX|ReportField=PROJECT_STATUS~PROTOTYPE|ReportField=PROJECT_TITLE_LINE_1~Chem Control Box|ReportField=PROJECT_TITLE_LINE_2~|ReportField=SCH_DATE~2014.1.2|ReportField=Address1~3 Minna Close|ReportField=Address2~Belrose|ReportField=Address3~NSW 2085|ReportField=Address4~Australia|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~1/5/2014|ReportField=CurrentTime~3:43:41 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\ehughes\Dropbox\Rioux Chem Control Box\RAW DESIGN FILES\SCH\REV B\CHEM_CONTROL_BOX.SchDoc|ReportField=DocumentName~CHEM_CONTROL_BOX.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~10/22/2013|ReportField=Organization~Altium Limited|ReportField=ProjectName~CHEM_CONTROL_BOX.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~7|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~CHEM_CONTROL_BOX.PrjPcb|ReportField=DataSourceFullPath~C:\Users\ehughes\Dropbox\Rioux Chem Control Box\RAW DESIGN FILES\SCH\REV B\CHEM_CONTROL_BOX.PrjPcb
CAP CER 0.1UF 50V 10% X7R 0805|C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C79, C81, C85|GRM21BR71H104KA01L|Murata Electronics North America|71|Digi-Key|490-1666-1-ND|0.1µF, 0.1µF  50V|Murata Electronics North America|GRM21BR71H104KA01L|7100|80.94|0.0114
CAP CER 0.1UF 250V 10% X7R 1206|C25, C26, C27, C28, C29, C30, C31, C32|GRM31CR72E104KW03L|Murata Electronics North America|8|Digi-Key|490-3542-1-ND|0.1µF|Murata Electronics North America|GRM31CR72E104KW03L|800|81.616|0.10202
CAP ALUM 47UF 25V 20% SMD|C67, C78, C82, C83|EEE-FK1E470P|Panasonic Electronic Components|4|Digi-Key|PCE3804CT-ND|47µF|Panasonic Electronic Components|EEE-FK1E470P|400|92.528|0.23132
CAP ALUM 330UF 25V 20% SMD|C80|EEE-FK1E331P|Panasonic Electronic Components|1|Digi-Key|PCE3803CT-ND|330µF|Panasonic Electronic Components|EEE-FK1E331P|100|53.53|0.5353
DIODE SCHOTTKY 100V 1A SMA|D1, D2|B1100-13-F|Diodes Inc|2|Digi-Key|B1100-FDICT-ND|B1100-13-F|Diodes Inc|B1100-13-F|200|52.54|0.2627
FUSE 16A 250VAC 5X20 SLOW|F1|0215016.MXP|Littelfuse Inc|1|Digi-Key|F6044-ND|0215016.MXP|Littelfuse Inc|0215016.MXP|100|99.65|0.9965
AC Power Entry Modules SNAP-N PCB 2-POLE|J1|KP01.1112.11|Schurter|1|Mouser|693-KP01.1112.11|KP01.1112.11|Schurter|KP01.1112.11|100|1063.17593|10.63176
TERM W/ASSEMBLD SCREW VERT PCMNT|J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, J21, J22, J23, J24, J25, J26, J27, J28, J29, J30, J31, J32, J33, J34, J35, J36, J37, J38, J39, J40, J41|7701|Keystone Electronics|40|Digi-Key|7701K-ND|7701|Keystone Electronics|7701|4000|923.52|0.23088
Vertical K type thermocouple connector - K|J42, J43, J44, J45, J46, J47, J48, J49, J50, J51, J52, J53|PCC-SMP-K-100|Supplier disabled|12|Omega|PCC-SMP-K-100|PCC-SMP-K|Omega||||
CONN MOD JACK R/A 8P8C SHIELDED|J54|5569263-1|TE Connectivity|1|Digi-Key|A31480-ND|5569263-1|TE Connectivity|5569263-1|100|1654.45|16.5445
CONN TERM BLOCK T/H 2POS 3.5MM|J55, J56|1984617|Phoenix Contact|2|Digi-Key|277-1721-ND|1984617|Phoenix Contact|1984617|200|68.48|0.3424
CONN HEADER 8POS 2MM RT ANG TIN|J57||Hirose Electric Co Ltd|1|Digi-Key|H10246-ND|DF11-8DP-2DS(24)|Hirose Electric Co Ltd|DF11-8DP-2DS(24)|100|43.7|0.437
CONN RECEPT 8POS 2MM PCB TIN|J58||Hirose Electric Co Ltd|1|Digi-Key|H10170-ND|DF11-8DS-2DSA(05)|Hirose Electric Co Ltd|DF11-8DS-2DSA(05)|100|66|0.66
SAMTEC - SSM-120-S-SV-LC - .025 SOCKET STRIPS|J59, J60||Loading...|2|Newark|81P6611||SAMTEC|SSM-120-S-SV-LC|200|996|4.98
1734035-2|J61|1734035-2|TE Connectivity|1|Digi-Key|A31727CT-ND|1734035-2|TE Connectivity|1734035-2|100|136.98|1.3698
100 uH 0.31A|L1|DO1608C-104_L|Supplier disabled|1|Coilcraft|DO1608C-104_L|100 uH 0.31A|Coilcraft|DO1608C-104_L|||0.88
MOSFET N-CH 60V 4A SOT-223-4|Q1, Q2, Q3|NDT3055L|Fairchild Semiconductor|3|Digi-Key|NDT3055LCT-ND|NDT3055L|Fairchild Semiconductor|NDT3055L|300|118.188|0.39396
